Continent,Location,Date,Population,New_vaccinations,RollingPeopleVaccinated,f0_
Asia,Afghanistan,4/18/2020 0:00:00,41128772,,,
Asia,Afghanistan,9/18/2020 0:00:00,41128772,,,
Asia,Afghanistan,10/13/2020 0:00:00,41128772,,,
Asia,Afghanistan,10/22/2020 0:00:00,41128772,,,
Asia,Afghanistan,11/6/2020 0:00:00,41128772,,,
Asia,Afghanistan,11/8/2020 0:00:00,41128772,,,
Asia,Afghanistan,11/16/2020 0:00:00,41128772,,,
Asia,Afghanistan,5/2/2021 0:00:00,41128772,,,
Asia,Afghanistan,6/23/2021 0:00:00,41128772,,6874,0.0167134
Asia,Afghanistan,10/16/2021 0:00:00,41128772,,6874,0.0167134
Asia,Afghanistan,2/18/2022 0:00:00,41128772,,13742,0.0334121
Asia,Afghanistan,2/22/2022 0:00:00,41128772,,13742,0.0334121
Asia,Afghanistan,3/30/2022 0:00:00,41128772,,13742,0.0334121
Asia,Afghanistan,5/28/2022 0:00:00,41128772,,14125,0.0343434
Asia,Afghanistan,2/7/2023 0:00:00,41128772,,74959,0.1822544
Europe,Albania,4/16/2020 0:00:00,2842318,,,
Europe,Albania,7/28/2020 0:00:00,2842318,,,
Europe,Albania,8/2/2020 0:00:00,2842318,,,
Europe,Albania,9/5/2020 0:00:00,2842318,,,
Europe,Albania,3/29/2021 0:00:00,2842318,,32668,1.1493436
Europe,Albania,4/6/2021 0:00:00,2842318,14880,134935,4.7473576
Europe,Albania,4/24/2021 0:00:00,2842318,8713,279418,9.8306382
Europe,Albania,10/9/2021 0:00:00,2842318,5759,1211739,42.63207
Europe,Albania,10/17/2021 0:00:00,2842318,,1224520,43.0817382
Europe,Albania,11/30/2021 0:00:00,2842318,,1313145,46.1997919
Europe,Albania,12/27/2021 0:00:00,2842318,,1378369,48.4945386
Europe,Albania,1/9/2022 0:00:00,2842318,,1389653,48.8915385
Europe,Albania,1/20/2022 0:00:00,2842318,,1398659,49.2083926
Europe,Albania,1/21/2022 0:00:00,2842318,,1398659,49.2083926
Europe,Albania,2/13/2022 0:00:00,2842318,,1403805,49.389442
Europe,Albania,5/7/2022 0:00:00,2842318,,1417691,49.8779869
Europe,Albania,5/29/2022 0:00:00,2842318,,1417691,49.8779869
Europe,Albania,7/31/2022 0:00:00,2842318,,1417691,49.8779869
Europe,Albania,8/2/2022 0:00:00,2842318,,1417691,49.8779869
Europe,Albania,8/14/2022 0:00:00,2842318,,1417691,49.8779869
Europe,Albania,10/2/2022 0:00:00,2842318,,1417691,49.8779869
Africa,Algeria,6/1/2020 0:00:00,44903228,,,
Africa,Algeria,9/13/2020 0:00:00,44903228,,,
Africa,Algeria,12/6/2020 0:00:00,44903228,,,
Africa,Algeria,12/21/2020 0:00:00,44903228,,,
Africa,Algeria,1/12/2021 0:00:00,44903228,,,
Africa,Algeria,2/12/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,4/4/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,5/3/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,6/19/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,7/19/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,8/3/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,8/20/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,11/18/2021 0:00:00,44903228,,30,0.0000668
Africa,Algeria,12/1/2021 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,1/11/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,2/23/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,3/31/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,4/23/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,5/2/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,5/16/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,6/29/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,8/12/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,9/12/2022 0:00:00,44903228,,170786,0.3803424
Africa,Algeria,2/15/2023 0:00:00,44903228,,170786,0.3803424
Europe,Andorra,5/23/2020 0:00:00,79843,,,
Europe,Andorra,7/13/2020 0:00:00,79843,,,
Europe,Andorra,8/18/2020 0:00:00,79843,,,
Europe,Andorra,11/1/2020 0:00:00,79843,,,
Europe,Andorra,11/3/2020 0:00:00,79843,,,
Europe,Andorra,4/22/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,6/8/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,7/11/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,7/25/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,9/12/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,12/4/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,12/12/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,12/22/2021 0:00:00,79843,,4802,6.0143031
Europe,Andorra,5/1/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,5/23/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,5/29/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,7/5/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,7/26/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,9/23/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,10/13/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,12/1/2022 0:00:00,79843,,4802,6.0143031
Europe,Andorra,12/2/2022 0:00:00,79843,,4802,6.0143031
Africa,Angola,4/18/2020 0:00:00,35588996,,,
Africa,Angola,5/5/2020 0:00:00,35588996,,,
Africa,Angola,5/7/2020 0:00:00,35588996,,,
Africa,Angola,5/17/2020 0:00:00,35588996,,,
Africa,Angola,8/1/2020 0:00:00,35588996,,,
Africa,Angola,8/29/2020 0:00:00,35588996,,,
Africa,Angola,9/24/2020 0:00:00,35588996,,,
Africa,Angola,11/16/2020 0:00:00,35588996,,,
Africa,Angola,2/10/2021 0:00:00,35588996,,,
Africa,Angola,2/27/2021 0:00:00,35588996,,,
Africa,Angola,2/28/2021 0:00:00,35588996,,,
Africa,Angola,4/8/2021 0:00:00,35588996,,,
Africa,Angola,5/16/2021 0:00:00,35588996,,,
Africa,Angola,5/19/2021 0:00:00,35588996,,,
Africa,Angola,6/25/2021 0:00:00,35588996,,,
Africa,Angola,8/10/2021 0:00:00,35588996,,,
Africa,Angola,8/28/2021 0:00:00,35588996,,,
Africa,Angola,12/28/2021 0:00:00,35588996,,,
Africa,Angola,1/12/2022 0:00:00,35588996,,,
Africa,Angola,2/17/2022 0:00:00,35588996,,,
Africa,Angola,2/18/2022 0:00:00,35588996,,,
Africa,Angola,2/23/2022 0:00:00,35588996,,,
Africa,Angola,3/5/2022 0:00:00,35588996,,,
Africa,Angola,3/26/2022 0:00:00,35588996,,,
Africa,Angola,4/3/2022 0:00:00,35588996,,,
Africa,Angola,5/25/2022 0:00:00,35588996,,,
Africa,Angola,6/30/2022 0:00:00,35588996,,,
Africa,Angola,9/26/2022 0:00:00,35588996,,,
North America,Anguilla,5/6/2020 0:00:00,15877,,,
North America,Anguilla,7/28/2020 0:00:00,15877,,,
North America,Anguilla,10/5/2020 0:00:00,15877,,,
North America,Anguilla,11/22/2020 0:00:00,15877,,,
North America,Anguilla,1/20/2021 0:00:00,15877,,,
